phone,headline,sprechzeiten,address,url,terminvereinbarung,email,opnv
+49 (0) 80 31 / 365-11 11,Personalamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/karriere-beruf,,personalamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 16,Hauptamt Öffentlichkeitsarbeit Beschwerdemanagement,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/online-dienste/wuensche-anregungen-kritik,,Beschwerdemanagement@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-01,Stadt Rosenheim,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/aemter-dienststellen,,poststelle@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 70,Behördlicher Datenschutzbeauftragter,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag, 08:00 – 16:00 Uhr, Dienstag und Donnerstag 08:00 – 12:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/datenschutz,,datenschutz@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 16,Hauptamt - Redaktion,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/barrierefreiheit,,homepage@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-12 25,Stadtkasse,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 13 83022 Rosenheim,https://www.rosenheim.de/zahlungsarten,,kasse@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-17 78,Fundamt,"Montag, Dienstag und Donnerstag 08:00 – 12:00 Uhr, Donnerstag 14:00 - 17:00 Uhr",Möslstraße 27 83024 Rosenheim,https://www.rosenheim.de/buergerservice/fundbuero,,fundamt@rosenheim.de,Römerstraße
+49 (0) 80 31 / 400-33 16,Kulturamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Ludwigsplatz 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/kulturfoerderung,,kulturamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365- 12 45,Kämmerei Sachgebiet Steuern,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag, Dienstag und Freitag 08:00 – 12:30 Uhr, Donnerstag 13:30 – 17:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/steuern-abgaben,,steuern@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-83 01,Stabsstelle III Zentrale Vergabeverfahrensstelle,Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Freitag 08:00 – 12:00 Uhr,Königstraße 13 83022 Rosenheim,https://www.rosenheim.de/unternehmerservice/ausschreibungen/vergaben,,vvs@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
